filename,triplet1_eV,triplet2_eV,singlet1_eV,2T1_minus_S1,2T1_minus_T2,HOMO,LUMO
M2007e.log,2.0019,2.8589,3.3844,0.6194,1.1449,-0.21994,
M2005e.log,3.6275,3.6415,4.9635,2.2915,3.6135,-0.24968,
M2001e.log,1.2233,2.1498,1.6894,0.7572,0.2968,-0.22924,
M1995e.log,2.3883,2.7695,2.7902,1.9864,2.0071,-0.22018,
M1993e.log,2.3847,2.7268,3.3045,1.4649,2.0426,-0.22953,
M1992e.log,3.3434,3.3835,3.8155,2.8713,3.3033,-0.22347,
M1985e.log,2.1926,2.8384,3.3604,1.0248,1.5468,-0.22596,
M1979e.log,0.9372,1.9595,2.2561,-0.3817,-0.0851,-0.242,
M1970e.log,2.2223,2.8425,3.3468,1.0978,1.6021,-0.21486,
M1965e.log,2.552,3.03,3.1431,1.9609,2.074,-0.21096,
M1959e.log,1.4369,2.8193,3.0005,-0.1267,0.0545,-0.24509,
M1958e.log,1.5835,3.38,3.2886,-0.1216,-0.213,-0.21304,
M1948e.log,3.3069,4.9603,4.966,1.6478,1.6535,-0.22664,
M1939e.log,3.3045,3.5507,4.4746,2.1344,3.0583,-0.22959,
M1921e.log,2.8983,3.5533,3.9835,1.8131,2.2433,-0.2573,
M1906e.log,3.301,3.7098,4.0921,2.5099,2.8922,-0.2336,
M1895e.log,2.6975,2.8885,3.1284,2.2666,2.5065,-0.20991,
M1890e.log,2.7248,3.6575,4.0283,1.4213,1.7921,-0.26015,
M1888e.log,2.8409,3.5982,3.9464,1.7354,2.0836,-0.25305,
M1862e.log,0.9406,2.0187,2.6737,-0.7925,-0.1375,-0.23985,
M1854e.log,2.9671,5.2034,5.3337,0.6005,0.7308,-0.29922,
M1849e.log,0.6539,2.3966,2.8223,-1.5145,-1.0888,-0.27026,
M1846e.log,2.6693,3.5037,4.03,1.3086,1.8349,-0.24229,
M1840enew.log,2.4388,2.9883,3.6854,1.1922,1.8893,-0.24983,
M1835e.log,2.2955,2.8889,2.3658,2.2252,1.7021,-0.20622,
M1832e.log,1.4967,2.2426,2.4355,0.5579,0.7508,-0.22823,
M1828e.log,1.1233,2.6313,2.8024,-0.5558,-0.3847,-0.22808,
M1827e.log,2.563,3.224,3.9211,1.2049,1.902,-0.22332,
M1812e.log,0.5005,1.4457,1.5349,-0.5339,-0.4447,-0.24676,
M1811e.log,1.3675,1.9442,2.8966,-0.1616,0.7908,-0.23304,
M1806e.log,3.3674,3.6235,4.4903,2.2445,3.1113,-0.24392,
M1795e.log,3.29,3.7113,4.7226,1.8574,2.8687,-0.22513,
M1792e.log,2.4039,3.8688,4.0845,0.7233,0.939,-0.2652,
M1785e.log,1.5153,1.9223,2.0924,0.9382,1.1083,-0.23898,
M1764e.log,2.5465,3.1226,3.6173,1.4757,1.9704,-0.24765,
M1762e.log,0.9202,2.0597,2.7023,-0.8619,-0.2193,-0.23997,
M1756e.log,1.8833,2.9224,3.5006,0.266,0.8442,-0.24224,
M1755e.log,1.891,2.2805,3.0684,0.7136,1.5015,-0.22398,
M1748e.log,2.268,2.8344,2.9719,1.5641,1.7016,-0.18743,
M1747e.log,1.873,3.3788,3.2468,0.4992,0.3672,-0.25398,
M1742E.log,2.7206,2.7520,3.5347,1.9065,2.6892,-0.25032,
M1738e.log,3.7231,4.6189,5.2847,2.1615,2.8273,-0.25918,
M1722e.log,3.5682,3.6873,4.8044,2.332,3.4491,-0.24699,
M1715e.log,2.6265,3.1741,3.8105,1.4425,2.0789,-0.25472,
M1712e.log,1.3161,1.6621,1.7127,0.9195,0.9701,-0.22788,
